Date,cfs
1932-10-01,650
1932-11-01,650
1932-12-01,650
1933-01-01,640
1933-02-01,647
1933-03-01,643
1933-04-01,648
1933-05-01,663
1933-06-01,663
1933-07-01,683
1933-08-01,704
1933-09-01,859
1933-10-01,1058
1933-11-01,955
1933-12-01,911
1934-01-01,854
1934-02-01,787
1934-03-01,728
1934-04-01,712
1934-05-01,708
1934-06-01,831
1934-07-01,1007
1934-08-01,994
1934-09-01,986
1934-10-01,957
1934-11-01,937
1934-12-01,827
1935-01-01,820
1935-02-01,757
1935-03-01,706
1935-04-01,682
1935-05-01,665
1935-06-01,654
1935-07-01,652
1935-08-01,671
1935-09-01,801
1935-10-01,928
1935-11-01,896
1935-12-01,837
1936-01-01,802
1936-02-01,826
1936-03-01,861
1936-04-01,922
1936-05-01,886
1936-06-01,902
1936-07-01,851
1936-08-01,835
1936-09-01,812
1936-10-01,799
1936-11-01,792
1936-12-01,769
1937-01-01,737
1937-02-01,716
1937-03-01,717
1937-04-01,737
1937-05-01,755
1937-06-01,744
1937-07-01,726
1937-08-01,740
1937-09-01,848
1937-10-01,893
1937-11-01,877
1937-12-01,879
1938-01-01,846
1938-02-01,807
1938-03-01,777
1938-04-01,740
1938-05-01,710
1938-06-01,691
1938-07-01,711
1938-08-01,778
1938-09-01,793
1938-10-01,797
1938-11-01,829
1938-12-01,808
1939-01-01,771
1939-02-01,742
1939-03-01,713
1939-04-01,692
1939-05-01,673
1939-06-01,669
1939-07-01,706
1939-08-01,755
1939-09-01,818
1939-10-01,824
1939-11-01,791
1939-12-01,747
1940-01-01,728
1940-02-01,705
1940-03-01,700
1940-04-01,692
1940-05-01,683
1940-06-01,674
1940-07-01,678
1940-08-01,692
1940-09-01,707
1940-10-01,695
1940-11-01,674
1940-12-01,663
1941-01-01,662
1941-02-01,666
1941-03-01,684
1941-04-01,712
1941-05-01,722
1941-06-01,705
1941-07-01,730
1941-08-01,761
1941-09-01,762
1941-10-01,764
1941-11-01,847
1941-12-01,865
1942-01-01,909
1942-02-01,913
1942-03-01,949
1942-04-01,1012
1942-05-01,981
1942-06-01,928
1942-07-01,968
1942-08-01,979
1942-09-01,993
1942-10-01,962
1942-11-01,889
1942-12-01,836
1943-01-01,795
1943-02-01,760
1943-03-01,740
1943-04-01,708
1943-05-01,687
1943-06-01,674
1943-07-01,681
1943-08-01,722
1943-09-01,812
1943-10-01,817
1943-11-01,772
1943-12-01,736
1944-01-01,706
1944-02-01,686
1944-03-01,673
1944-04-01,676
1944-05-01,675
1944-06-01,666
1944-07-01,667
1944-08-01,697
1944-09-01,728
1944-10-01,739
1944-11-01,811
1944-12-01,789
1945-01-01,760
1945-02-01,734
1945-03-01,708
1945-04-01,684
1945-05-01,663
1945-06-01,651
1945-07-01,671
1945-08-01,766
1945-09-01,908
1945-10-01,989
1945-11-01,898
1945-12-01,839
1946-01-01,804
1946-02-01,755
1946-03-01,796
1946-04-01,818
1946-05-01,814
1946-06-01,817
1946-07-01,785
1946-08-01,805
1946-09-01,853
1946-10-01,954
1946-11-01,1004
1946-12-01,946
1947-01-01,877
1947-02-01,851
1947-03-01,844
1947-04-01,870
1947-05-01,883
1947-06-01,874
1947-07-01,864
1947-08-01,906
1947-09-01,926
1947-10-01,985
1947-11-01,1016
1947-12-01,996
1948-01-01,961
1948-02-01,966
1948-03-01,966
1948-04-01,974
1948-05-01,949
1948-06-01,914
1948-07-01,881
1948-08-01,949
1948-09-01,1010
1948-10-01,1002
1948-11-01,987
1948-12-01,960
1949-01-01,932
1949-02-01,919
1949-03-01,900
1949-04-01,882
1949-05-01,877
1949-06-01,852
1949-07-01,878
1949-08-01,904
1949-09-01,1016
1949-10-01,1052
1949-11-01,1024
1949-12-01,983
1950-01-01,938
1950-02-01,890
1950-03-01,850
1950-04-01,809
1950-05-01,769
